MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,RemodelAge,TotalArea,TotalBathrooms,BedroomBathroomRatio,OverallFinishQuality,TotalOutdoorArea,LotSizePerRoom,GarageQuality,GarageToLotRatio,ExteriorQuality,BasementQuality
60,3,65.0,8450,1,2,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,4,3,2,4.0,3.0,3,2,706,5,0,150,856,1,5,1,4,856,854,0,1710,1,0,2,1,3,1,4,8,6,0,0.0,1,2003.0,1,2,548,3.0,3.0,2,0,61,0,0,0,0,0.0,4,4,0,2,2008,8,4,208500,5,5,3114,4,0.75,12,61,2816.6666666666665,6.0,0.06485207100591715,7,7.0
20,3,80.0,9600,1,2,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,3,3,1,4.0,3.0,1,0,978,5,0,284,1262,1,5,1,4,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,3.0,1,1976.0,1,2,460,3.0,3.0,2,298,0,0,0,0,0,0.0,4,4,0,5,2007,8,4,181500,31,31,2984,3,1.0,14,298,3200.0,6.0,0.04791666666666667,6,7.0
60,3,68.0,11250,1,2,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,4,3,2,4.0,3.0,2,2,486,5,0,434,920,1,5,1,4,920,866,0,1786,1,0,2,1,3,1,4,6,6,1,3.0,1,2001.0,1,2,608,3.0,3.0,2,0,42,0,0,0,0,0.0,4,4,0,9,2008,8,4,223500,7,6,3314,4,0.75,12,42,3750.0,6.0,0.054044444444444444,7,7.0
70,3,60.0,9550,1,2,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,0.0,3,3,0,3.0,4.0,3,0,216,5,0,540,756,1,4,1,4,961,756,0,1717,1,0,1,0,3,1,4,7,6,1,4.0,5,1998.0,2,3,642,3.0,3.0,2,0,35,272,0,0,0,0.0,4,4,0,2,2006,8,0,140000,91,36,3115,2,1.5,12,307,3183.3333333333335,6.0,0.06722513089005236,6,7.0
60,3,84.0,14260,1,2,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,4,3,2,4.0,3.0,0,2,655,5,0,490,1145,1,5,1,4,1145,1053,0,2198,1,0,2,1,4,1,4,9,6,1,3.0,1,2000.0,1,3,836,3.0,3.0,2,192,84,0,0,0,0,0.0,4,4,0,12,2008,8,4,250000,8,8,4179,4,1.0,13,276,3565.0,6.0,0.05862552594670407,7,7.0
50,3,85.0,14115,1,2,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,0.0,3,3,5,4.0,3.0,3,2,732,5,0,64,796,1,5,1,4,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,0.0,1,1993.0,2,2,480,3.0,3.0,2,40,30,0,320,0,0,0.0,2,2,700,10,2009,8,4,143000,16,14,2638,3,0.3333333333333333,10,390,14115.0,6.0,0.03400637619553666,6,7.0
20,3,75.0,10084,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,2,186.0,4,3,2,5.0,3.0,0,2,1369,5,0,317,1686,1,5,1,4,1694,0,0,1694,1,0,2,0,3,1,4,7,6,1,4.0,1,2004.0,1,2,636,3.0,3.0,2,255,57,0,0,0,0,0.0,4,4,0,8,2007,8,4,307000,3,2,4016,3,1.0,13,312,3361.3333333333335,6.0,0.06307021023403411,7,8.0
60,3,0.0,10382,1,2,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,2,240.0,3,3,1,4.0,3.0,2,0,859,1,32,216,1107,1,5,1,4,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,3.0,1,1973.0,1,2,484,3.0,3.0,2,235,204,228,0,0,0,0.0,4,2,350,11,2009,8,4,200000,36,36,3681,4,0.75,13,667,3460.6666666666665,6.0,0.04661914852629551,6,7.0
50,4,51.0,6120,1,2,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,0.0,3,3,0,3.0,3.0,3,5,0,5,0,952,952,1,4,1,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,3.0,5,1931.0,2,2,468,2.0,3.0,2,90,0,205,0,0,0,0.0,4,4,0,4,2008,8,0,129900,77,58,3194,2,1.0,12,295,3060.0,5.0,0.07647058823529412,6,6.0
190,3,50.0,7420,1,2,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,3,3,0,3.0,3.0,3,2,851,5,0,140,991,1,5,1,4,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,3.0,1,1939.0,1,1,205,4.0,3.0,2,0,4,0,0,0,0,0.0,4,4,0,1,2008,8,4,118000,69,58,2273,2,1.0,11,4,3710.0,7.0,0.027628032345013476,6,6.0
20,3,70.0,11200,1,2,3,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,0.0,3,3,1,3.0,3.0,3,4,906,5,0,134,1040,1,5,1,4,1040,0,0,1040,1,0,1,0,3,1,3,5,6,0,0.0,5,1965.0,2,1,384,3.0,3.0,2,0,0,0,0,0,0,0.0,4,4,0,2,2008,8,4,129500,43,43,2464,2,1.5,10,0,3733.3333333333335,6.0,0.03428571428571429,6,6.0
60,3,85.0,11924,1,2,0,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,2,286.0,5,3,2,5.0,3.0,3,2,998,5,0,177,1175,1,5,1,4,1182,1142,0,2324,1,0,3,0,4,1,5,11,6,2,4.0,3,2005.0,0,3,736,3.0,3.0,2,147,21,0,0,0,0,0.0,4,4,0,7,2006,6,5,345000,1,0,4235,4,1.0,14,168,2981.0,6.0,0.061724253606172425,8,8.0
20,3,0.0,12968,1,2,1,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,0.0,3,3,1,3.0,3.0,3,0,737,5,0,175,912,1,3,1,4,912,0,0,912,1,0,1,0,2,1,3,4,6,0,0.0,5,1962.0,2,1,352,3.0,3.0,2,140,0,0,0,176,0,0.0,4,4,0,9,2008,8,4,144000,46,46,2176,2,1.0,11,316,6484.0,6.0,0.027143738433066007,6,6.0
20,3,91.0,10652,1,2,0,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,2,306.0,4,3,2,4.0,3.0,0,5,0,5,0,1494,1494,1,5,1,4,1494,0,0,1494,0,0,2,0,3,1,4,7,6,1,4.0,1,2006.0,1,3,840,3.0,3.0,2,160,33,0,0,0,0,0.0,4,4,0,8,2007,6,5,279500,1,0,3828,2,1.5,12,193,3550.6666666666665,6.0,0.07885843034171987,7,7.0
20,3,0.0,10920,1,2,0,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,3,3,1,3.0,3.0,3,1,733,5,0,520,1253,1,3,1,4,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,2.0,1,1960.0,1,1,352,3.0,3.0,2,0,213,176,0,0,0,0.0,1,4,0,5,2008,8,4,157000,48,48,2858,3,0.6666666666666666,11,389,5460.0,6.0,0.03223443223443224,6,6.0
